date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:51	214/214	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Nov%202020%2008:34:49%20GMT	https://bootstrap-ecommerce.com/robots.txt		(from )
15:34:51	20491/20491	---MC-	200	added ('OK')	text/html	etag:%22500b-5b0b514656e7e%22	https://bootstrap-ecommerce.com/	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/index.html	(from )
15:34:52	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5952fc4b8cc00%22	https://bootstrap-ecommerce.com/assets/images/favicon.ico	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/images/favicon.ico	(from https://bootstrap-ecommerce.com/)
15:34:52	187085/187085	---MCZ	200	added ('OK')	text/css	etag:%222dacd-5aee4607af280-gzip%22	https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/bootstrap.css?v=2.0	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/bootstrap3661.css	(from https://bootstrap-ecommerce.com/)
15:34:53	23937/23937	---MCZ	200	added ('OK')	text/css	etag:%225d81-5b03a2f608640-gzip%22	https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/ui.css?v=2.0	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/ui3661.css	(from https://bootstrap-ecommerce.com/)
15:34:54	1256/1256	---M-Z	200	added ('OK')	text/css	etag:%224e8-5b05dd026b76f-gzip%22	https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/responsive.css?v=2.1	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/bootstrap-ecommerce-html/css/responsivef195.css	(from https://bootstrap-ecommerce.com/)
15:34:54	55183/55183	---M-Z	200	added ('OK')	text/css	etag:%22d78f-59483c27aaf00-gzip%22	https://bootstrap-ecommerce.com/bootstrap-ecommerce-html/fonts/fontawesome/css/all.min.css?v=2.0	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/bootstrap-ecommerce-html/fonts/fontawesome/css/all.min3661.css	(from https://bootstrap-ecommerce.com/)
15:34:55	7553/7553	---M-Z	200	added ('OK')	text/css	etag:%221d81-5b0b440d2cfd5-gzip%22	https://bootstrap-ecommerce.com/assets/css/style.css?v=2.1	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/css/stylef195.css	(from https://bootstrap-ecommerce.com/)
15:34:55	7135/7135	---M--	200	added ('OK')	image/png	etag:%221bdf-594f81115e0c0%22	https://bootstrap-ecommerce.com/assets/images/logo.png	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/images/logo.png	(from https://bootstrap-ecommerce.com/)
15:34:56	20491/20491	---MC-	200	added ('OK')	text/html	etag:%22500b-5b0b514656e7e%22	https://bootstrap-ecommerce.com/index.html	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/index-2.html	(from https://bootstrap-ecommerce.com/)
15:34:57	7821/7821	---MC-	200	added ('OK')	text/html	etag:%221e8d-5b0b43f234ee2%22	https://bootstrap-ecommerce.com/page-templates.html	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/page-templates.html	(from https://bootstrap-ecommerce.com/)
15:34:57	262986/262986	---MC-	200	added ('OK')	text/html	etag:%224034a-5b0b43f19a60d%22	https://bootstrap-ecommerce.com/page-components.html	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/page-components.html	(from https://bootstrap-ecommerce.com/)
15:35:02	13538/13538	---M--	200	added ('OK')	image/png	etag:%2234e2-5b03a35d07940%22	https://bootstrap-ecommerce.com/assets/images/apps.png	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/images/apps.png	(from https://bootstrap-ecommerce.com/)
15:35:02	122337/122337	---MC-	200	added ('OK')	text/html	etag:%221dde1-5b05e1499849e%22	https://bootstrap-ecommerce.com/documentation.html	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/documentation.html	(from https://bootstrap-ecommerce.com/)
15:35:04	1988/1988	---M--	200	added ('OK')	image/svg+xml	etag:%227c4-5951f0b337600%22	https://bootstrap-ecommerce.com/assets/images/icons/1.svg	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/images/icons/1.svg	(from https://bootstrap-ecommerce.com/)
15:35:05	2987/2987	---M--	200	added ('OK')	image/svg+xml	etag:%22bab-5951f0b337600%22	https://bootstrap-ecommerce.com/assets/images/icons/2.svg	C:/Users/Febri/Documents/bootstrap-pro/bootstrap-ecommerce.com/assets/images/icons/2.svg	(from https://bootstrap-ecommerce.com/)
